Rel Start (11:07:34.734050),Duration,Address A,Port A,Address B,Port B,Packets,Bytes,Packets A->B,Bytes A->B,Packets A<-B,Bytes A<-B,bps A->B,bps A<-B
0.000000,659.1230,75.206.72.41,49424,192.168.0.9,http,55673,54042777,20881,1370138,34792,52672639,16629.83,639305.70
9863.435159,0.4266,121.254.193.215,35773,192.168.0.9,http,11,1482,6,848,5,634,15900.92,11888.19
11122.771892,63.1782,146.163.182.61,4857,192.168.0.9,http,17,4296,8,1657,9,2639,209.82,334.17
11122.997014,62.9531,146.163.182.61,4858,192.168.0.9,http,13,3999,7,1627,6,2372,206.76,301.43
11122.997165,62.9529,146.163.182.61,4859,192.168.0.9,http,24,15321,10,1781,14,13540,226.33,1720.65
11125.337809,60.6121,146.163.182.61,4863,192.168.0.9,https,27,11406,12,2478,15,8928,327.06,1178.38
11125.565378,75.3851,146.163.182.61,4864,192.168.0.9,https,19,5240,10,2471,9,2769,262.23,293.85
11125.565514,75.3850,146.163.182.61,4865,192.168.0.9,https,20,6137,10,2999,10,3138,318.26,333.01
11317.074651,78.8816,146.163.182.61,4879,192.168.0.9,https,23,6746,11,3149,12,3597,319.36,364.80
12317.744311,74.7058,75.132.218.182,49266,192.168.0.9,http,26,9274,13,3787,13,5487,405.54,587.58
12318.137108,74.3092,75.132.218.182,49267,192.168.0.9,http,36,25389,15,2699,21,22690,290.57,2442.77
12332.666705,74.8004,75.132.218.182,49271,192.168.0.9,https,35,13094,15,2840,20,10254,303.74,1096.68
12339.365652,68.0982,75.132.218.182,49272,192.168.0.9,https,21,5932,11,2539,10,3393,298.27,398.60
12339.370025,83.1073,75.132.218.182,49273,192.168.0.9,https,22,6664,11,3067,11,3597,295.23,346.25
14065.795385,0.1831,65.55.207.53,26083,192.168.0.9,http,7,945,4,440,3,505,19221.32,22060.83
20955.278789,0.1982,216.139.253.36,61975,192.168.0.9,https,14,5950,7,598,7,5352,24137.36,216025.31
23474.312645,67.9063,146.163.209.55,50260,192.168.0.9,http,22,6523,11,2612,11,3911,307.72,460.75
23474.569168,67.6498,146.163.209.55,50261,192.168.0.9,http,13,3959,7,1649,6,2310,195.00,273.17
23474.569280,67.6497,146.163.209.55,50262,192.168.0.9,http,25,15457,11,1913,14,13544,226.22,1601.66
23477.101340,65.1176,146.163.209.55,50266,192.168.0.9,https,36,15548,17,4300,19,11248,528.27,1381.87
23477.382253,94.8330,146.163.209.55,50267,192.168.0.9,https,23,7620,12,3854,11,3766,325.12,317.70
23968.817553,0.1568,67.16.94.2,47335,192.168.0.9,http,10,1449,5,633,5,816,32303.75,41642.75
23969.445344,0.1601,67.16.94.2,47338,192.168.0.9,http,10,1429,5,623,5,806,31126.46,40269.55
26948.052350,30.8714,146.163.213.13,42591,192.168.0.9,https,30,9783,16,1908,14,7875,494.44,2040.73
26948.337909,30.5856,146.163.213.13,44286,192.168.0.9,https,19,4144,11,1423,8,2721,372.20,711.71
26948.338701,30.5848,146.163.213.13,45093,192.168.0.9,https,19,3680,11,1439,8,2241,376.40,586.17
27200.376258,68.4281,97.92.219.201,47711,192.168.0.9,http,20,5710,10,2437,10,3273,284.91,382.65
27200.711056,68.0933,97.92.219.201,47712,192.168.0.9,http,13,3881,7,1575,6,2306,185.04,270.92
27200.711114,68.0933,97.92.219.201,47713,192.168.0.9,http,21,14037,8,1065,13,12972,125.12,1524.03
27202.872590,80.9302,97.92.219.201,47717,192.168.0.9,https,37,15845,17,4712,20,11133,465.78,1100.50
27203.334155,65.4702,97.92.219.201,47718,192.168.0.9,https,19,5706,10,2457,9,3249,300.23,397.01
27271.720942,0.3058,97.92.219.201,47747,192.168.0.9,http,10,5125,5,467,5,4658,12217.77,121863.80
27272.030478,0.1867,97.92.219.201,47748,192.168.0.9,http,9,5071,4,413,5,4658,17699.12,199618.59
27272.222440,60.2479,97.92.219.201,47749,192.168.0.9,http,9,1751,5,467,4,1284,62.01,170.50
27272.410610,5650.7350,97.92.219.201,47750,192.168.0.9,http,3560334,3701031811,1157064,62489706,2403270,3638542105,88469.49,5151247.91
27900.103661,56.3681,99.32.66.223,57288,192.168.0.9,http,13,2965,7,998,6,1967,141.64,279.16
27900.436117,56.0384,99.32.66.223,57289,192.168.0.9,http,16,4607,9,1597,7,3010,227.99,429.71
27900.447686,56.0246,99.32.66.223,57290,192.168.0.9,http,24,15127,11,1637,13,13490,233.75,1926.30
28923.488298,85.3237,97.92.219.201,47797,192.168.0.9,https,30,12106,14,3484,16,8622,326.66,808.40
30854.273204,0.5321,123.125.66.111,32958,192.168.0.9,http,11,1122,6,544,5,578,8178.79,8689.97
31334.184784,78.6359,97.92.219.201,49573,192.168.0.9,https,30,12077,14,3260,16,8817,331.66,896.99
37857.636464,0.1660,128.2.212.179,63692,192.168.0.9,https,14,5950,7,598,7,5352,28822.40,257955.68
39420.621113,0.6682,121.254.193.215,55415,192.168.0.9,http,14,3025,7,963,7,2062,11529.22,24686.67
45851.318750,95.1307,87.250.231.32,53887,192.168.0.9,http,28,2249,15,1060,13,1189,89.14,99.99
47485.990628,69.1274,146.163.58.75,51686,192.168.0.9,http,28,8645,15,3166,13,5479,366.40,634.08
47486.270238,68.8482,146.163.58.75,51687,192.168.0.9,http,28,15963,13,1851,15,14112,215.08,1639.78
47490.682893,79.4238,146.163.58.75,51692,192.168.0.9,https,39,16111,18,4551,21,11560,458.40,1164.39
47491.210806,63.9054,146.163.58.75,51696,192.168.0.9,https,25,10893,13,2474,12,8419,309.71,1053.93
51865.077254,8.4168,66.249.67.173,64892,192.168.0.9,http,10,1272,6,665,4,607,632.07,576.94
64257.047130,0.1754,216.139.253.36,52503,192.168.0.9,https,14,5950,7,598,7,5352,27267.34,244038.12
64761.591909,0.1091,66.232.160.65,62636,192.168.0.9,https,14,5950,7,598,7,5352,43834.41,392310.65
71585.223806,0.6974,208.80.193.27,53818,192.168.0.9,http,15,4326,7,686,8,3640,7868.83,41752.99
72144.746171,0.9031,123.125.68.13,50511,192.168.0.9,http,13,2440,7,512,6,1928,4535.73,17079.88
79518.728056,0.2980,195.113.214.196,37356,192.168.0.9,http,10,1094,5,460,5,634,12348.33,17019.22
81088.184488,0.4778,128.2.212.179,52384,192.168.0.9,https,16,8068,7,598,9,7470,10013.40,125083.72
82626.865521,0.5235,61.146.118.19,urld-port,192.168.0.9,http,11,1162,6,390,5,772,5960.23,11798.19
95671.169205,0.2297,67.16.94.2,34773,192.168.0.9,http,10,1267,5,633,5,634,22048.35,22083.19
103398.972540,67.3119,146.163.213.42,49289,192.168.0.9,http,17,4189,8,1546,9,2643,183.74,314.12
103633.757679,7.4538,146.163.213.42,49391,192.168.0.9,https,32,12560,14,3658,18,8902,3926.06,9554.34
104077.581813,30.6771,146.163.213.42,49710,192.168.0.9,http,31942,31867838,11294,610057,20648,31257781,159091.37,8151440.05
104666.986586,0.1570,65.55.3.195,15471,192.168.0.9,http,9,1013,5,493,4,520,25121.50,26497.32
104867.147582,67.2873,97.92.231.105,59121,192.168.0.9,http,19,6521,9,2298,10,4223,273.22,502.09
104867.573256,66.8634,97.92.231.105,61035,192.168.0.9,http,25,15251,11,1707,14,13544,204.24,1620.50
104870.006486,7.7928,97.92.231.105,59126,192.168.0.9,https,39,18074,18,5470,21,12604,5615.42,12939.07
104870.657951,13.8716,97.92.231.105,59127,192.168.0.9,https,10,612,6,360,4,252,207.62,145.33
105044.182324,0.3106,97.92.231.105,59160,192.168.0.9,http,13,9659,5,455,8,9204,11719.52,237069.09
105044.493022,0.2462,97.92.231.105,59161,192.168.0.9,http,13,9659,5,455,8,9204,14786.89,299117.66
