Address A,Port A,Address B,Port B,Packets,Bytes,Packets A->B,Bytes A->B,Packets A<-B,Bytes A<-B,Rel Start,Duration,bps A->B,bps A<-B
146.163.46.80,49426,192.168.0.9,http,17,4068,9,1387,8,2681,0.000000000,46.0233,241.10,466.03
146.163.46.80,49427,192.168.0.9,http,14,3789,8,1345,6,2444,0.268163000,45.7547,235.17,427.32
146.163.46.80,49428,192.168.0.9,http,25,15243,12,1601,13,13642,0.268717000,45.7549,279.93,2385.23
146.163.46.80,49432,192.168.0.9,https,31,11542,16,2434,15,9108,2.950939000,43.0456,452.36,1692.72
146.163.46.80,49433,192.168.0.9,https,20,5082,11,2205,9,2877,3.236811000,42.7609,412.53,538.25
146.163.46.80,49434,192.168.0.9,https,24,6189,13,2853,11,3336,3.237395000,42.7648,533.71,624.07
66.249.67.218,58941,192.168.0.9,http,10,1272,6,665,4,607,2724.202080000,9.1821,579.39,528.86
99.58.88.126,42967,192.168.0.9,http,14,3472,7,1438,7,2034,3462.939022000,0.3449,33357.30,47182.72
99.58.88.126,52022,192.168.0.9,http,10,1598,6,812,4,786,3463.421956000,59.5053,109.17,105.67
99.58.88.126,43103,192.168.0.9,https,42,11271,23,2728,19,8543,3467.280529000,79.5053,274.50,859.62
65.55.216.53,24047,192.168.0.9,http,7,945,4,440,3,505,5652.280770000,0.1952,18031.31,20695.02
195.113.214.196,59208,192.168.0.9,http,10,1094,5,460,5,634,5825.776640000,0.3034,12130.32,16718.75
99.58.88.126,33274,192.168.0.9,http,12,2844,6,888,6,1956,7914.820194000,0.3388,20970.97,46192.81
99.58.88.126,53005,192.168.0.9,http,10,1598,6,812,4,786,7915.289138000,59.7523,108.72,105.23
99.58.88.126,42833,192.168.0.9,https,36,10349,20,2693,16,7656,7917.126680000,9.1783,2347.27,6673.12
99.58.88.126,51705,192.168.0.9,http,12,2791,6,835,6,1956,12958.825828000,0.3555,18788.22,44011.68
99.58.88.126,60856,192.168.0.9,http,10,1602,6,816,4,786,12959.323994000,59.8016,109.16,105.15
99.58.88.126,51623,192.168.0.9,https,40,14661,21,3303,19,11358,12963.080079000,70.0056,377.46,1297.95
